更新日期,指数简称,静态市盈率,滚动市盈率,市净率,股息率,去年底静态市盈率,去年底滚动市盈率,去年底市净率
2018-02-09,上证指数,17.08,15.29,1.65,17.97,16.07,1.73,SSE Composite,1.98
2018-02-09,上证180,14.33,13.09,1.46,14.56,13.30,1.49,SSE 180 ,2.47
2018-02-09,上证50,13.02,11.77,1.33,13.00,11.75,1.33,SSE 50 ,2.77
2018-02-09,沪深300,16.25,14.73,1.68,16.61,15.18,1.73,CSI 300 ,2.16
2018-02-09,深证成指    ,28.58,24.64,2.80,30.17,27.08,3.06,SZSE Component,1.06
2018-02-09,深证100R  ,24.66,22.04,2.86,25.37,23.87,3.08,SZSE 100R ,1.40
2018-02-09,中小板指    ,35.34,30.93,3.99,38.65,34.16,4.30,SZSE SME,0.84
2018-02-09,上证380,26.65,22.10,2.31,29.52,24.59,2.57,SSE 380,1.31
2018-02-09,红利指数,9.82,9.30,1.18,9.43,8.93,1.13,SSE Dividend,3.85
2018-02-09,中证红利,10.85,10.22,1.31,10.57,9.96,1.28,CSI Dividend,3.47
2018-02-09,中证500,30.57,24.89,2.22,34.06,27.70,2.48,CSI 500,0.94
