更新日期,指数名称,收盘,日涨跌,日涨跌幅（%）,今年以来涨跌,今年以来涨跌幅（%）,成交额较昨日增减（亿元）,成交额较昨日增减（%）,指数简称
2018-02-09,上证指数,3129.85,-132.20,-4.05,-177.32,-5.36,497.46,22.37,SSE Composite
2018-02-09,上证180,8347.69,-388.51,-4.45,-299.34,-3.46,345.57,25.62,SSE 180 
2018-02-09,上证50,2810.03,-135.82,-4.61,-50.41,-1.76,217.68,24.33,SSE 50 
2018-02-09,沪深300,3840.65,-171.39,-4.27,-190.20,-4.72,477.13,23.97,CSI 300 
2018-02-09,深证成指    ,10001.23,-371.36,-3.58,-1039.22,-9.41,245.06,21.00,SZSE Component
2018-02-09,深证100R  ,5259.88,-210.76,-3.85,-454.11,-7.95,152.71,25.77,SZSE 100R 
2018-02-09,中小板指    ,6795.81,-215.42,-3.07,-759.05,-10.05,64.81,23.55,SZSE SME
2018-02-09,上证380,4945.04,-196.52,-3.82,-628.36,-11.27,101.11,25.19,SSE 380
2018-02-09,红利指数,2973.39,-117.61,-3.81,-20.61,-0.69,91.63,16.16,SSE Dividend
2018-02-09,中证红利,4620.23,-186.93,-3.89,-130.56,-2.75,159.67,18.82,CSI Dividend
2018-02-09,中证500,5554.90,-211.58,-3.67,-695.92,-11.13,159.53,24.05,CSI 500
2018-02-12,上证指数,3154.13,24.27,0.78,-153.05,-4.63,-1010.92,-37.15,SSE Composite
2018-02-12,上证180,8383.91,36.21,0.43,-263.12,-3.04,-763.65,-45.07,SSE 180 
2018-02-12,上证50,2805.21,-4.82,-0.17,-55.23,-1.93,-551.01,-49.54,SSE 50 
2018-02-12,沪深300,3890.10,49.45,1.29,-140.75,-3.49,-969.17,-39.27,CSI 300 
2018-02-12,深证成指    ,10291.88,290.65,2.91,-748.57,-6.78,-324.28,-22.96,SZSE Component
2018-02-12,深证100R  ,5422.04,162.16,3.08,-291.95,-5.11,-194.05,-26.03,SZSE 100R 
2018-02-12,中小板指    ,7029.77,233.97,3.44,-525.08,-6.95,-31.07,-9.14,SZSE SME
2018-02-12,上证380,5082.78,137.75,2.79,-490.61,-8.80,-131.39,-26.15,SSE 380
2018-02-12,红利指数,2975.95,2.57,0.09,-18.04,-0.60,-314.62,-47.77,SSE Dividend
2018-02-12,中证红利,4672.71,52.49,1.14,-78.08,-1.64,-435.57,-43.20,CSI Dividend
2018-02-12,中证500,5699.10,144.20,2.60,-551.72,-8.83,-208.61,-25.35,CSI 500
